Applicant_Gender,Total_Children,Total_Income,Education_Type,Family_Status,Owned_Email,Job_Title,Total_Family_Members,Applicant_Age,Years_of_Working,Total_Bad_Debt,Total_Good_Debt,Village
F      ,2,270000,Secondary / secondary special                     ,Married                                           ,1,Managers                                          ,4,36,6,0,57,Barreiro (Lavegadas)
F      ,2,270000,Secondary / secondary special                     ,Married                                           ,1,Managers                                          ,4,36,6,0,40,Crasto (Poiares (Santo André))
F      ,2,270000,Secondary / secondary special                     ,Married                                           ,1,Managers                                          ,4,36,6,0,11,Vimieiro (Poiares (Santo André))
F      ,2,270000,Secondary / secondary special                     ,Married                                           ,1,Managers                                          ,4,36,6,0,43,Paço (Poiares (Santo André))
F      ,1,157500,Secondary / secondary special                     ,Married                                           ,0,Managers                                          ,3,35,16,0,22,Póvoa (Poiares (Santo André))
F      ,1,157500,Secondary / secondary special                     ,Married                                           ,0,Managers                                          ,3,35,16,0,30,Louredo (Arrifana)
F      ,1,157500,Secondary / secondary special                     ,Married                                           ,0,Managers                                          ,3,35,16,0,22,Paço (Poiares (Santo André))
F      ,1,157500,Secondary / secondary special                     ,Married                                           ,0,Managers                                          ,3,35,16,0,21,Paço (Poiares (Santo André))
F      ,1,157500,Secondary / secondary special                     ,Married                                           ,0,Managers                                          ,3,35,16,0,36,Vale Carvalhal (Poiares (Santo André))
F      ,1,157500,Secondary / secondary special                     ,Married                                           ,0,Managers                                          ,3,35,16,0,25,Framilo (Poiares (Santo André))
F      ,1,157500,Secondary / secondary special                     ,Married                                           ,0,Managers                                          ,3,35,16,0,22,Framilo (Poiares (Santo André))
M      ,0,252000,Secondary / secondary special                     ,Married                                           ,1,Security staff                                    ,2,61,5,0,30,Sabouga (Lavegadas)
M      ,0,252000,Secondary / secondary special                     ,Married                                           ,1,Security staff                                    ,2,61,5,0,30,Vilar (Arrifana)
M      ,0,252000,Secondary / secondary special                     ,Married                                           ,1,Security staff                                    ,2,61,5,0,8,Ponte da Pedra (Poiares (Santo André))
M      ,0,252000,Secondary / secondary special                     ,Married                                           ,1,Security staff                                    ,2,61,5,0,31,Olho Marinho (São Miguel de Poiares)
M      ,0,252000,Secondary / secondary special                     ,Married                                           ,1,Security staff                                    ,2,61,5,0,40,Framilo (Poiares (Santo André))
F      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Medicine staff                                    ,2,51,6,1,11,Fonte da Telha (Arrifana)
F      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Medicine staff                                    ,2,51,6,1,16,Pinheirais (Poiares (Santo André))
F      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Medicine staff                                    ,2,51,6,1,32,Venda (Poiares (Santo André))
F      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,59,2,0,43,Vale da Clara (Poiares (Santo André))
F      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,59,2,0,29,Couchel (Poiares (Santo André))
M      ,0,90000,Secondary / secondary special                     ,Married                                           ,1,Laborers                                          ,2,25,3,0,1,Ponte de Mucela (Lavegadas)
M      ,1,247500,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,2,46,19,0,38,Pereiro de Além (Poiares (Santo André))
M      ,1,247500,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,2,46,19,0,39,Bogalhal (Poiares (Santo André))
M      ,1,247500,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,2,46,19,0,39,Casa Nova (Poiares (Santo André))
M      ,1,247500,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,2,46,19,0,21,Moura Morta (Lavegadas)
M      ,1,247500,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,2,46,19,0,32,Abraveia (Poiares (Santo André))
M      ,1,247500,Secondary / secondary special                     ,Single / not married                              ,0,Laborers                                          ,2,46,19,0,38,Boiça (São Miguel de Poiares)
F      ,0,76500,Secondary / secondary special                     ,Married                                           ,0,Sales staff                                       ,2,43,14,0,58,Vale de Afonso (Poiares (Santo André))
F      ,0,76500,Secondary / secondary special                     ,Married                                           ,0,Sales staff                                       ,2,43,14,6,17,Vimieiro (Poiares (Santo André))
M      ,0,360000,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,50,4,0,28,Lixosa (Arrifana)
M      ,0,135000,Lower secondary                                   ,Married                                           ,1,Laborers                                          ,2,28,6,0,10,Ferreira (Poiares (Santo André))
M      ,0,135000,Lower secondary                                   ,Married                                           ,1,Laborers                                          ,2,28,6,2,12,Balteiro (Arrifana)
M      ,0,135000,Lower secondary                                   ,Married                                           ,1,Laborers                                          ,2,28,6,0,10,Cascalho (Poiares (Santo André))
M      ,0,135000,Lower secondary                                   ,Married                                           ,1,Laborers                                          ,2,28,6,0,10,Fonte da Telha (Arrifana)
M      ,0,135000,Lower secondary                                   ,Married                                           ,1,Laborers                                          ,2,28,6,0,13,Ferreira (Poiares (Santo André))
M      ,0,135000,Lower secondary                                   ,Married                                           ,1,Laborers                                          ,2,28,6,0,10,Pereiro de Além (Poiares (Santo André))
M      ,0,135000,Lower secondary                                   ,Married                                           ,1,Laborers                                          ,2,28,6,0,1,Alveite Grande (São Miguel de Poiares)
M      ,0,135000,Lower secondary                                   ,Married                                           ,1,Laborers                                          ,2,28,6,0,7,Ferreira (Poiares (Santo André))
M      ,0,135000,Lower secondary                                   ,Married                                           ,1,Laborers                                          ,2,28,6,0,9,Forcado (Poiares (Santo André))
M      ,0,135000,Lower secondary                                   ,Married                                           ,1,Laborers                                          ,2,28,6,0,10,Algaça (Poiares (Santo André))
F      ,0,135000,Higher education                                  ,Married                                           ,1,Core staff                                        ,2,38,11,0,13,Pereiro de Além (Poiares (Santo André))
F      ,0,135000,Higher education                                  ,Married                                           ,1,Core staff                                        ,2,38,11,0,8,Alveite Pequeno (São Miguel de Poiares)
F      ,1,90000,Secondary / secondary special                     ,Married                                           ,0,Medicine staff                                    ,3,48,23,0,46,Olho Marinho (São Miguel de Poiares)
F      ,1,90000,Secondary / secondary special                     ,Married                                           ,0,Medicine staff                                    ,3,48,23,0,12,Casal do Gago (São Miguel de Poiares)
F      ,1,90000,Secondary / secondary special                     ,Married                                           ,0,Medicine staff                                    ,3,48,23,0,53,Crasto (Arrifana)
F      ,1,90000,Secondary / secondary special                     ,Married                                           ,0,Medicine staff                                    ,3,48,23,0,11,Fonte da Telha (Arrifana)
F      ,1,90000,Secondary / secondary special                     ,Married                                           ,0,Medicine staff                                    ,3,48,23,0,9,Algaça (Arrifana)
F      ,1,90000,Secondary / secondary special                     ,Married                                           ,0,Medicine staff                                    ,3,48,23,0,39,Ervideira (Arrifana)
F      ,1,90000,Secondary / secondary special                     ,Married                                           ,0,Medicine staff                                    ,3,48,23,0,7,Cabeço de Celas (Poiares (Santo André))
F      ,1,90000,Secondary / secondary special                     ,Married                                           ,0,Medicine staff                                    ,3,48,23,1,19,Carvalho (Arrifana)
F      ,1,90000,Secondary / secondary special                     ,Married                                           ,0,Medicine staff                                    ,3,48,23,0,59,Balteiro (Arrifana)
M      ,0,315000,Incomplete higher                                 ,Married                                           ,0,Secretaries                                       ,2,60,6,0,35,Mucela (Lavegadas)
M      ,0,315000,Incomplete higher                                 ,Married                                           ,0,Secretaries                                       ,2,60,6,0,9,Vale de Vaz (Poiares (Santo André))
M      ,0,315000,Incomplete higher                                 ,Married                                           ,0,Secretaries                                       ,2,60,6,3,18,Pinheirais (Poiares (Santo André))
M      ,0,225000,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,46,12,0,35,Mucela (Lavegadas)
M      ,0,225000,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,46,12,0,16,Bogalhal (Poiares (Santo André))
M      ,0,225000,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,46,12,1,14,Algaça (Poiares (Santo André))
M      ,0,225000,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,46,12,0,11,Terreiros de Além (Arrifana)
M      ,0,225000,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,46,12,0,7,Moura Morta (Lavegadas)
M      ,0,225000,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,46,12,0,10,Vilar (Arrifana)
M      ,0,225000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,56,3,0,18,Carvalho (Arrifana)
M      ,0,225000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,56,3,0,16,Arrifana (Arrifana)
M      ,0,225000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,56,3,0,30,Lixosa (Arrifana)
M      ,0,225000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,56,3,0,30,Boiça (São Miguel de Poiares)
M      ,0,225000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,56,3,0,16,Casa Nova (Poiares (Santo André))
M      ,0,225000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,56,3,0,15,Barreiro (Lavegadas)
M      ,0,225000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,56,3,0,2,Outeiro do Crasto (Arrifana)
M      ,0,225000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,56,3,0,32,Entroncamento (Poiares (Santo André))
M      ,0,225000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,56,3,0,33,Abraveia (Poiares (Santo André))
M      ,0,225000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,56,3,0,2,Vila Chã (Poiares (Santo André))
F      ,0,247500,Secondary / secondary special                     ,Married                                           ,0,Managers                                          ,2,54,23,0,31,Boiça (São Miguel de Poiares)
F      ,1,67500,Secondary / secondary special                     ,Civil marriage                                    ,0,Cooking staff                                     ,3,41,10,0,5,Fonte da Telha (Arrifana)
F      ,1,67500,Secondary / secondary special                     ,Civil marriage                                    ,0,Cooking staff                                     ,3,41,10,0,17,Paço (Poiares (Santo André))
F      ,0,99000,Secondary / secondary special                     ,Single / not married                              ,0,Sales staff                                       ,1,28,4,0,6,Entroncamento (Poiares (Santo André))
F      ,0,99000,Secondary / secondary special                     ,Single / not married                              ,0,Sales staff                                       ,1,28,4,0,10,Igreja Nova (Lavegadas)
F      ,0,99000,Secondary / secondary special                     ,Single / not married                              ,0,Sales staff                                       ,1,28,4,0,14,Couchel (Poiares (Santo André))
F      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Sales staff                                       ,2,41,6,2,38,Crasto (Arrifana)
F      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Sales staff                                       ,2,41,6,0,7,Vale do Gueiro (São Miguel de Poiares)
F      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Sales staff                                       ,2,41,6,2,20,Couchel (Poiares (Santo André))
F      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Sales staff                                       ,2,41,6,0,5,Algaça (Poiares (Santo André))
F      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Sales staff                                       ,2,41,6,0,12,Lixosa (Arrifana)
F      ,1,112500,Secondary / secondary special                     ,Married                                           ,0,Core staff                                        ,3,42,6,0,24,Catraia das Necessidades (Poiares (Santo André))
F      ,1,112500,Secondary / secondary special                     ,Married                                           ,0,Core staff                                        ,3,42,6,0,24,Lixosa (Arrifana)
F      ,1,112500,Secondary / secondary special                     ,Married                                           ,0,Core staff                                        ,3,42,6,0,24,Moinhos (São Miguel de Poiares)
F      ,1,112500,Secondary / secondary special                     ,Married                                           ,0,Core staff                                        ,3,42,6,0,33,Vale Carvalhal (Poiares (Santo André))
F      ,1,112500,Secondary / secondary special                     ,Married                                           ,0,Core staff                                        ,3,42,6,0,26,Ventosa (Arrifana)
F      ,1,112500,Secondary / secondary special                     ,Married                                           ,0,Core staff                                        ,3,42,6,0,33,Vendinha (Poiares (Santo André))
F      ,1,112500,Secondary / secondary special                     ,Married                                           ,0,Core staff                                        ,3,42,6,0,27,Cascalho (Poiares (Santo André))
F      ,1,112500,Secondary / secondary special                     ,Married                                           ,0,Core staff                                        ,3,42,6,0,33,Ponte de Mucela (Lavegadas)
M      ,0,135000,Higher education                                  ,Married                                           ,1,Cooking staff                                     ,2,26,1,0,28,Fonte da Telha (Arrifana)
M      ,0,135000,Higher education                                  ,Married                                           ,1,Cooking staff                                     ,2,26,1,0,2,Póvoa da Abraveia (Poiares (Santo André))
M      ,0,135000,Higher education                                  ,Married                                           ,1,Cooking staff                                     ,2,26,1,0,27,Crasto (Poiares (Santo André))
M      ,0,135000,Higher education                                  ,Married                                           ,1,Cooking staff                                     ,2,26,1,0,31,Pereiro de Baixo (Poiares (Santo André))
M      ,0,135000,Higher education                                  ,Married                                           ,1,Cooking staff                                     ,2,26,1,0,3,Pereiro de Além (Arrifana)
F      ,0,328500,Secondary / secondary special                     ,Married                                           ,1,Managers                                          ,2,55,6,0,13,Sobreiro (Arrifana)
F      ,0,328500,Secondary / secondary special                     ,Married                                           ,1,Managers                                          ,2,55,6,0,13,Framilo (Poiares (Santo André))
F      ,0,126000,Secondary / secondary special                     ,Single / not married                              ,0,Sales staff                                       ,1,23,3,0,5,Alveite Grande (São Miguel de Poiares)
M      ,1,180000,Incomplete higher                                 ,Married                                           ,0,Drivers                                           ,3,29,4,0,30,Soutelo (Arrifana)
M      ,1,180000,Incomplete higher                                 ,Married                                           ,0,Drivers                                           ,3,29,4,0,30,Balteiro (Arrifana)
F      ,0,310500,Higher education                                  ,Single / not married                              ,1,Accountants                                       ,1,36,4,0,13,Vale do Gueiro (São Miguel de Poiares)
F      ,0,126000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,40,21,0,12,Vale de Vaz (Poiares (Santo André))
F      ,0,126000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,40,21,0,5,Vale da Clara (Poiares (Santo André))
M      ,0,90000,Secondary / secondary special                     ,Single / not married                              ,0,Drivers                                           ,1,34,6,0,31,Balteiro (Arrifana)
M      ,0,90000,Secondary / secondary special                     ,Single / not married                              ,0,Drivers                                           ,1,34,6,0,24,Pinheirais (Poiares (Santo André))
M      ,0,90000,Secondary / secondary special                     ,Single / not married                              ,0,Drivers                                           ,1,34,6,1,10,Vale de Vaz (Poiares (Santo André))
M      ,0,90000,Secondary / secondary special                     ,Single / not married                              ,0,Drivers                                           ,1,34,6,0,10,Balteiro (Arrifana)
F      ,1,157500,Higher education                                  ,Separated                                         ,1,Medicine staff                                    ,2,27,6,0,34,Igreja Nova (Lavegadas)
F      ,1,157500,Higher education                                  ,Separated                                         ,1,Medicine staff                                    ,2,27,6,0,46,Vale da Clara (Poiares (Santo André))
F      ,1,157500,Higher education                                  ,Separated                                         ,1,Medicine staff                                    ,2,27,6,0,9,Outeiro do Crasto (Arrifana)
F      ,1,157500,Higher education                                  ,Separated                                         ,1,Medicine staff                                    ,2,27,6,0,33,Lombada (São Miguel de Poiares)
F      ,1,157500,Higher education                                  ,Separated                                         ,1,Medicine staff                                    ,2,27,6,1,14,Moinhos (São Miguel de Poiares)
F      ,1,157500,Higher education                                  ,Separated                                         ,1,Medicine staff                                    ,2,27,6,0,9,Vimieiro (Poiares (Santo André))
F      ,0,540000,Higher education                                  ,Married                                           ,1,Managers                                          ,2,38,7,0,9,Vimieiro (Poiares (Santo André))
F      ,0,540000,Higher education                                  ,Married                                           ,1,Managers                                          ,2,38,7,0,9,Barreiro (Lavegadas)
F      ,0,540000,Higher education                                  ,Married                                           ,1,Managers                                          ,2,38,7,0,6,Ventosa (Arrifana)
F      ,0,540000,Higher education                                  ,Married                                           ,1,Managers                                          ,2,38,7,0,13,Mucela (Lavegadas)
F      ,0,540000,Higher education                                  ,Married                                           ,1,Managers                                          ,2,38,7,1,28,Moinhos (São Miguel de Poiares)
F      ,0,540000,Higher education                                  ,Married                                           ,1,Managers                                          ,2,38,7,0,45,Alveite Pequeno (São Miguel de Poiares)
F      ,0,540000,Higher education                                  ,Married                                           ,1,Managers                                          ,2,38,7,0,45,Lixosa (Arrifana)
F      ,1,225000,Higher education                                  ,Married                                           ,0,High skill tech staff                             ,3,39,5,0,13,Balteiro (Arrifana)
F      ,1,225000,Higher education                                  ,Married                                           ,0,High skill tech staff                             ,3,39,5,1,9,Segundeira (Poiares (Santo André))
F      ,1,225000,Higher education                                  ,Married                                           ,0,High skill tech staff                             ,3,39,5,0,18,Venda (Poiares (Santo André))
F      ,1,225000,Higher education                                  ,Married                                           ,0,High skill tech staff                             ,3,39,5,0,13,Pereiro de Além (Arrifana)
F      ,1,225000,Higher education                                  ,Married                                           ,0,High skill tech staff                             ,3,39,5,0,8,Vale da Clara (Poiares (Santo André))
M      ,1,270000,Secondary / secondary special                     ,Separated                                         ,0,Drivers                                           ,2,37,9,0,18,Vale do Gueiro (São Miguel de Poiares)
M      ,1,270000,Secondary / secondary special                     ,Separated                                         ,0,Drivers                                           ,2,37,9,0,22,Arrifana (Arrifana)
M      ,1,270000,Secondary / secondary special                     ,Separated                                         ,0,Drivers                                           ,2,37,9,0,27,Paço (Poiares (Santo André))
M      ,1,270000,Secondary / secondary special                     ,Separated                                         ,0,Drivers                                           ,2,37,9,0,6,Lombada (São Miguel de Poiares)
M      ,1,270000,Secondary / secondary special                     ,Separated                                         ,0,Drivers                                           ,2,37,9,0,20,Forcado (Poiares (Santo André))
F      ,0,67500,Secondary / secondary special                     ,Married                                           ,1,Medicine staff                                    ,2,43,1,4,27,Lombada (São Miguel de Poiares)
F      ,0,67500,Secondary / secondary special                     ,Married                                           ,1,Medicine staff                                    ,2,43,1,0,35,Vale de Vaz (Poiares (Santo André))
F      ,0,67500,Secondary / secondary special                     ,Married                                           ,1,Medicine staff                                    ,2,43,1,0,19,Casais (Arrifana)
F      ,0,67500,Secondary / secondary special                     ,Married                                           ,1,Medicine staff                                    ,2,43,1,0,35,Terreiros de Além (Arrifana)
F      ,0,67500,Secondary / secondary special                     ,Married                                           ,1,Medicine staff                                    ,2,43,1,0,28,Casa Nova (Poiares (Santo André))
F      ,0,67500,Secondary / secondary special                     ,Married                                           ,1,Medicine staff                                    ,2,43,1,0,24,Ervideira (Arrifana)
F      ,0,67500,Secondary / secondary special                     ,Married                                           ,1,Medicine staff                                    ,2,43,1,0,29,Malpartida (São Miguel de Poiares)
F      ,0,67500,Secondary / secondary special                     ,Married                                           ,1,Medicine staff                                    ,2,43,1,0,35,Vilar (Arrifana)
F      ,0,67500,Secondary / secondary special                     ,Married                                           ,1,Medicine staff                                    ,2,43,1,4,27,Lombada (São Miguel de Poiares)
F      ,0,67500,Secondary / secondary special                     ,Married                                           ,1,Medicine staff                                    ,2,43,1,0,32,Vendinha (Poiares (Santo André))
F      ,1,180000,Secondary / secondary special                     ,Married                                           ,0,Sales staff                                       ,3,31,1,0,8,Carvalho (Arrifana)
F      ,1,180000,Secondary / secondary special                     ,Married                                           ,0,Sales staff                                       ,3,31,1,0,49,Pinheirais (Poiares (Santo André))
F      ,0,157500,Secondary / secondary special                     ,Married                                           ,0,Core staff                                        ,2,37,16,0,44,Segundeira (Poiares (Santo André))
F      ,0,157500,Secondary / secondary special                     ,Married                                           ,0,Core staff                                        ,2,37,16,0,35,Sabouga (Lavegadas)
F      ,0,157500,Secondary / secondary special                     ,Married                                           ,0,Core staff                                        ,2,37,16,0,13,São Miguel de Poiares (São Miguel de Poiares)
F      ,0,171000,Higher education                                  ,Married                                           ,1,Core staff                                        ,2,52,11,0,37,Vale de Vaide (Poiares (Santo André))
F      ,0,171000,Higher education                                  ,Married                                           ,1,Core staff                                        ,2,52,11,0,40,Pereiro de Além (Poiares (Santo André))
F      ,0,171000,Higher education                                  ,Married                                           ,1,Core staff                                        ,2,52,11,0,50,Boiça (São Miguel de Poiares)
F      ,0,171000,Higher education                                  ,Married                                           ,1,Core staff                                        ,2,52,11,0,40,Alveite Pequeno (São Miguel de Poiares)
F      ,0,171000,Higher education                                  ,Married                                           ,1,Core staff                                        ,2,52,11,0,34,Ribas (Poiares (Santo André))
F      ,0,171000,Higher education                                  ,Married                                           ,1,Core staff                                        ,2,52,11,0,36,Outeiro do Crasto (Arrifana)
F      ,0,171000,Higher education                                  ,Married                                           ,1,Core staff                                        ,2,52,11,0,27,Ponte de Mucela (Lavegadas)
F      ,0,171000,Higher education                                  ,Married                                           ,1,Core staff                                        ,2,52,11,0,30,Arrifana (Arrifana)
F      ,1,157500,Secondary / secondary special                     ,Married                                           ,0,Sales staff                                       ,3,35,2,0,15,Lombada (São Miguel de Poiares)
F      ,1,157500,Secondary / secondary special                     ,Married                                           ,0,Sales staff                                       ,3,35,2,1,9,Crasto (Arrifana)
F      ,1,157500,Secondary / secondary special                     ,Married                                           ,0,Sales staff                                       ,3,35,2,0,14,Vale de Afonso (Poiares (Santo André))
M      ,0,675000,Higher education                                  ,Married                                           ,0,High skill tech staff                             ,2,33,7,1,31,Cabeço de Celas (São Miguel de Poiares)
M      ,0,675000,Higher education                                  ,Married                                           ,0,High skill tech staff                             ,2,33,7,1,40,Fonte da Telha (Arrifana)
M      ,0,675000,Higher education                                  ,Married                                           ,0,High skill tech staff                             ,2,33,7,0,32,Forcado (Poiares (Santo André))
M      ,0,675000,Higher education                                  ,Married                                           ,0,High skill tech staff                             ,2,33,7,1,42,Boiça (São Miguel de Poiares)
F      ,2,270000,Higher education                                  ,Married                                           ,0,Secretaries                                       ,4,38,13,1,14,Boiça (São Miguel de Poiares)
F      ,2,270000,Higher education                                  ,Married                                           ,0,Secretaries                                       ,4,38,13,0,11,Póvoa (Poiares (Santo André))
F      ,2,270000,Higher education                                  ,Married                                           ,0,Secretaries                                       ,4,38,13,0,21,Pereiro de Além (Arrifana)
F      ,2,270000,Higher education                                  ,Married                                           ,0,Secretaries                                       ,4,38,13,6,6,Algaça (Poiares (Santo André))
F      ,1,90000,Secondary / secondary special                     ,Separated                                         ,1,Sales staff                                       ,2,39,1,0,13,Moinhos (São Miguel de Poiares)
F      ,0,135000,Secondary / secondary special                     ,Single / not married                              ,0,Sales staff                                       ,1,48,7,0,54,Venda Nova (São Miguel de Poiares)
F      ,0,135000,Secondary / secondary special                     ,Single / not married                              ,0,Sales staff                                       ,1,48,7,0,12,Mucela (Lavegadas)
F      ,1,157500,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,3,38,12,0,5,Cabeças (Poiares (Santo André))
F      ,1,157500,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,3,38,12,0,7,Póvoa (Poiares (Santo André))
F      ,1,157500,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,3,38,12,0,2,Entroncamento (Poiares (Santo André))
F      ,1,157500,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,3,38,12,0,12,Vale de Viegas (Poiares (Santo André))
F      ,1,157500,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,3,38,12,0,14,Risca Silva (Poiares (Santo André))
F      ,1,157500,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,3,38,12,0,13,Vendinha (Poiares (Santo André))
M      ,0,112500,Secondary / secondary special                     ,Married                                           ,1,Sales staff                                       ,2,28,5,0,30,Fonte da Telha (Arrifana)
M      ,0,112500,Secondary / secondary special                     ,Married                                           ,1,Sales staff                                       ,2,28,5,0,21,Risca Silva (Poiares (Santo André))
M      ,0,112500,Secondary / secondary special                     ,Married                                           ,1,Sales staff                                       ,2,28,5,0,21,Louredo (Arrifana)
M      ,1,450000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,51,8,0,26,Entroncamento (Poiares (Santo André))
M      ,1,450000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,51,8,0,12,Mucela (Lavegadas)
M      ,1,450000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,51,8,0,22,Póvoa (Poiares (Santo André))
M      ,1,450000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,51,8,0,5,Vila Nova de Poiares (Poiares (Santo André))
M      ,1,450000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,51,8,0,35,Crasto (Arrifana)
M      ,1,450000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,51,8,0,5,Terreiros de Além (Arrifana)
M      ,1,450000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,51,8,0,26,Carvalho (Arrifana)
M      ,1,450000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,51,8,0,12,Ervideira (Arrifana)
M      ,1,450000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,51,8,0,5,Vila Nova de Poiares (Poiares (Santo André))
M      ,1,450000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,51,8,0,6,Lombada (São Miguel de Poiares)
M      ,1,450000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,51,8,0,25,Outeiro do Crasto (Arrifana)
M      ,1,450000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,51,8,0,5,Casa Nova (Poiares (Santo André))
M      ,1,450000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,51,8,0,22,Bogalhal (Poiares (Santo André))
M      ,0,90000,Secondary / secondary special                     ,Married                                           ,0,Security staff                                    ,2,58,4,0,6,Pinheiro (Poiares (Santo André))
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,39,9,2,51,Igreja Nova (Lavegadas)
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,39,9,0,2,Algaça (Poiares (Santo André))
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,39,9,2,8,Vilar (Arrifana)
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,39,9,2,18,Lixosa (Arrifana)
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,39,9,0,53,Casais (Arrifana)
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,39,9,0,2,Moura Morta (Lavegadas)
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,39,9,2,51,Valeiro das Hortas (Poiares (Santo André))
F      ,0,315000,Secondary / secondary special                     ,Separated                                         ,1,Laborers                                          ,1,50,9,0,5,Crasto (Poiares (Santo André))
F      ,0,315000,Secondary / secondary special                     ,Separated                                         ,1,Laborers                                          ,1,50,9,0,11,Alveite Grande (São Miguel de Poiares)
F      ,0,315000,Secondary / secondary special                     ,Separated                                         ,1,Laborers                                          ,1,50,9,0,10,Risca Silva (Poiares (Santo André))
F      ,0,315000,Secondary / secondary special                     ,Separated                                         ,1,Laborers                                          ,1,50,9,0,16,Pereiro de Além (Poiares (Santo André))
F      ,0,315000,Secondary / secondary special                     ,Separated                                         ,1,Laborers                                          ,1,50,9,0,22,Algaça (Arrifana)
F      ,0,315000,Secondary / secondary special                     ,Separated                                         ,1,Laborers                                          ,1,50,9,0,5,Fonte Longa (São Miguel de Poiares)
F      ,0,315000,Secondary / secondary special                     ,Separated                                         ,1,Laborers                                          ,1,50,9,0,8,Vendinha (Poiares (Santo André))
F      ,0,315000,Secondary / secondary special                     ,Separated                                         ,1,Laborers                                          ,1,50,9,0,47,Pereiro de Além (Arrifana)
F      ,0,315000,Secondary / secondary special                     ,Separated                                         ,1,Laborers                                          ,1,50,9,0,7,Soutelo (Arrifana)
F      ,0,315000,Secondary / secondary special                     ,Separated                                         ,1,Laborers                                          ,1,50,9,0,10,Casa Nova (Poiares (Santo André))
M      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,High skill tech staff                             ,2,44,8,0,59,Sobreiro (Arrifana)
M      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,High skill tech staff                             ,2,44,8,0,47,Fonte Longa (São Miguel de Poiares)
M      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,High skill tech staff                             ,2,44,8,0,39,Fonte da Telha (Arrifana)
